Station or stop;Name;Coordinate Latitude;Coordinate Longitude;Number of train rides;Minutes of delay
80194803;UNKEL;50.601277;7.220138;85.18122977346279;13.728155339805825
80807628;DRESDEN FREIBERGER STRASSE;51.048678;13.719304;26.909967845659164;16.913183279742764
80070078;HAMBURG HBF;53.553508;10.00629;13.096491228070175;29.210526315789473
80185835;WITTLICH HBF;49.973309;6.94358;32.411184210526315;21.282894736842106
80692285;SINZHEIM (B BUEHL) NORD;48.767454;8.169195;28.613861386138613;0.0
80075564;BIESDORFER KREUZ NORD;52.525727;13.536742;23.386986301369863;21.311643835616437
80082651;GREVENBRUECK(WESTF);51.14174;8.018144;23.280172413793103;2.1982758620689653
80242966;ERFURT GUETERBAHNHOF;50.974929;11.055484;27.658490566037734;42.29433962264151
80226100;ASCHAFFENBURG HBF;49.981539;9.147079;41.162135922330094;51.855339805825245
80040022;BESTENSEE;52.243389;13.636722;20.9568345323741;10.381294964028777
80154773;KOELN EIFELTOR N/S;50.905315;6.92959;33.1032565528197;150.69102462271644
80201558;RIMSTING;47.886275;12.34464;14.702325581395348;0.0
80155762;MENDEN (RHEINL);50.78115;7.1503;82.98701298701299;9.909090909090908
80623801;DRESDEN-PIESCHEN;51.081785;13.724199;13.864864864864865;0.8378378378378378
80290387;STUTTGART-ZUFFENHAUSEN;48.830536;9.168231;10.535714285714286;4.75
80203711;SOLNHOFEN;48.892484;10.994738;41.40378548895899;45.28391167192429
80054072;MALSFELD;51.09751;9.5358;31.701587301587303;6.511111111111111
80204685;MUENCHEN-ALLACH;48.192968;11.466871;21.537037037037038;52.74074074074074
80105361;DORTMUND-NETTE;51.558513;7.400682;20.903846153846153;2.46474358974359
80313726;AACHEN SCHANZ;50.769746;6.073718;22.141414141414142;23.02020202020202
80137331;NIENBURG(WESER);52.647006;9.21885;69.28213166144201;178.55172413793105
80253450;DILLINGEN (SAAR);49.353011;6.722678;45.1;614.7516129032258
80056457;HAUNETAL-NEUKIRCHEN;50.771223;9.6938;96.07165109034268;28.476635514018692
