Station or stop,Name,Coordinate Latitude,Coordinate Longitude,Number of trains,Minutes of delay,geometry,route_ids
80801480,HAGEN (HAN) HP,52.573469,9.407789,63.956113,0.0,POINT (9.40779 52.57347),1740.0
80172239,HOCHSTADT-MARKTZEULN,50.153545,11.172874,26.679012,28.0,POINT (11.17287 50.15355),5100.0
80016303,KUPFERMUEHLE,53.76398,10.326795,13.831818,0.0,POINT (10.32680 53.76398),1120.0
80142265,KARLSRUHE GBF,48.99773,8.425731,77.757862,438.616352,POINT (8.42573 48.99773),4213.0
80265066,PASSAU HBF,48.57469,13.45243,32.786469,250.98203,POINT (13.45243 48.57469),5845.0
80240846,DEMKER,52.518861,11.85565,23.996416,0.0,POINT (11.85565 52.51886),6402.0
80210195,OSTBEVERN,52.07153,7.809279,31.818815,7.672474,POINT (7.80928 52.07153),2200.0
80231100,HALLE ROSENGARTEN,51.446823,11.982566,23.294372,0.952381,POINT (11.98257 51.44682),6354.0
80103291,DUISBURG-HOCHFELD SUED MANNESMANN,51.391291,6.748826,20.902208,16.015773,POINT (6.74883 51.39129),2315.0
80210351,BELM,52.314564,8.13569,34.923077,9.113712,POINT (8.13569 52.31456),2200.0
80140426,WEINGARTEN (BADEN),49.059292,8.521863,14.85124,3.396694,POINT (8.52186 49.05929),4000.0
80033969,ZOSSEN,52.22325,13.4401,14.044444,13.788889,POINT (13.44010 52.22325),6543.0
80115675,EHRINGSHAUSEN (KR WETZLAR),50.595066,8.383875,21.424528,1.745283,POINT (8.38387 50.59507),2651.0
80137398,WAHNEBERGEN,52.89334,9.240982,67.288401,11.329154,POINT (9.24098 52.89334),1740.0
80224097,OBERHAID,49.930853,10.81827,18.502008,5.261044,POINT (10.81827 49.93085),5102.0
80136127,NEUBECKUM,51.800435,8.019924,43.157212,21.779579,POINT (8.01992 51.80044),2990.0
80284034,PASEWALK,53.516911,13.9909,11.0,13.0,POINT (13.99090 53.51691),6327.0
80200477,AMPFING,48.254018,12.412415,17.491228,15.087719,POINT (12.41241 48.25402),5600.0
80201145,TEISENDORF,47.84978,12.835989,23.37037,19.612795,POINT (12.83599 47.84978),5703.0
80204909,ECHING,48.303025,11.616892,17.106742,0.0,POINT (11.61689 48.30302),5500.0
80234427,LEIPZIG-HEITERBLICK,51.36925,12.4567,12.301205,20.963855,POINT (12.45670 51.36925),6371.0
80105379,NORDSTERN,51.526368,7.065837,74.084375,97.2375,POINT (7.06584 51.52637),2230.0
